cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
32 115 17 27 245 217 212 25 223 222 31 17 
33 124 18 26 245 221 226 24 216 231 31 15 
32 116 16 26 216 218 227 25 219 218 30 17 
33 120 19 27 219 213 217 27 229 223 30 16 
33 126 18 26 228 214 232 27 233 239 31 17 
32 120 16 26 222 213 230 25 222 236 36 14 
32 149 17 27 222 219 216 24 221 234 33 15 
36 140 16 27 230 224 231 26 229 238 32 16 
33 149 17 27 225 219 228 26 230 226 30 16 
32 156 17 26 225 211 221 27 222 223 29 15 
31 137 17 26 220 219 213 27 231 225 28 17 
30 125 17 29 229 229 223 28 233 233 29 15 
33 125 17 28 232 212 221 28 225 228 28 15 
35 122 18 25 249 217 214 30 231 222 29 15 
35 126 16 27 225 213 222 28 227 212 30 16 
34 126 19 26 222 212 215 25 224 214 30 16 
34 126 19 26 235 209 210 25 221 215 32 14 
35 131 20 27 238 214 216 28 223 219 35 15 
33 118 19 27 227 210 210 28 223 222 36 15 
34 115 16 28 231 218 211 24 222 219 33 15 
34 119 16 26 232 218 210 25 222 211 36 15 
34 124 16 27 228 225 211 26 223 217 32 15 
36 126 17 27 227 216 213 26 219 219 33 16 
35 146 18 26 227 220 210 27 222 218 34 17 
35 136 16 27 233 216 210 23 224 233 30 16 
34 126 18 27 226 218 214 26 224 219 30 15 
36 124 17 28 227 217 214 25 221 221 30 15 
35 126 18 27 220 216 213 24 221 218 31 16 
33 124 17 27 224 214 221 23 220 215 30 16 
34 121 17 27 224 220 216 25 227 217 33 18 
34 126 16 26 220 210 214 24 219 223 32 17 
34 123 17 32 225 224 211 24 223 216 33 16 
33 122 20 33 226 214 221 24 222 229 31 16 
33 119 18 28 220 209 226 24 229 219 30 17 
35 114 17 27 226 216 220 25 230 221 30 16 
35 123 16 26 217 225 209 22 227 220 29 17 
33 147 16 27 217 231 209 22 233 217 29 15 
32 148 16 27 218 227 214 23 237 217 30 16 
32 148 17 28 217 214 219 24 231 212 29 17 
33 140 18 27 217 217 213 25 227 229 33 17 
32 132 16 29 226 209 210 23 222 222 30 17 
33 118 16 28 225 213 209 26 225 224 30 17 
32 120 18 27 231 214 212 27 226 223 29 17 
34 121 19 29 222 221 208 24 238 236 28 16 
32 122 15 27 231 211 210 27 216 220 29 17 
32 120 18 28 _ 219 211 24 _ _ 30 16 
32 139 20 27 _ 227 222 24 _ _ 30 16 
31 130 19 25 _ _ _ 23 _ _ 30 17 
32 120 17 30 _ _ _ 27 _ _ 31 17 
33 124 18 27 _ _ _ 24 _ _ 35 17 
31 122 16 28 _ _ _ 24 _ _ 35 16 
32 142 16 28 _ _ _ 26 _ _ 36 18 
32 143 15 27 _ _ _ 26 _ _ 33 16 
32 126 17 26 _ _ _ 24 _ _ 36 16 
31 137 19 27 _ _ _ 22 _ _ 32 15 
32 134 18 26 _ _ _ 26 _ _ 33 15 
34 121 16 27 _ _ _ 25 _ _ 36 15 
34 122 17 27 _ _ _ 23 _ _ 32 16 
33 129 17 27 _ _ _ 24 _ _ 36 16 
34 117 17 26 _ _ _ 26 _ _ 31 15 
33 124 17 30 _ _ _ 24 _ _ 31 15 
31 124 17 31 _ _ _ 26 _ _ 30 15 
34 125 20 32 _ _ _ 27 _ _ 30 16 
40 123 18 29 _ _ _ 27 _ _ 30 16 
40 121 18 30 _ _ _ 26 _ _ 31 16 
39 122 18 30 _ _ _ 27 _ _ 32 15 
40 122 20 28 _ _ _ 23 _ _ 29 15 
39 121 17 26 _ _ _ 24 _ _ 29 15 
40 121 19 26 _ _ _ 26 _ _ 30 15 
39 120 16 29 _ _ _ 24 _ _ 29 16 
39 122 18 28 _ _ _ 23 _ _ 30 15 
37 129 20 27 _ _ _ 23 _ _ 35 16 
40 131 21 27 _ _ _ 23 _ _ 38 15 
39 129 23 26 _ _ _ 26 _ _ 30 16 
40 130 18 29 _ _ _ 25 _ _ 30 16 
40 125 19 28 _ _ _ 24 _ _ 30 17 
39 121 20 28 _ _ _ 25 _ _ 31 15 
41 126 20 28 _ _ _ 24 _ _ 31 17 
38 118 20 28 _ _ _ 23 _ _ 29 16 
38 _ 20 27 _ _ _ 24 _ _ 28 15 
37 _ 18 31 _ _ _ 25 _ _ 29 16 
41 _ 19 34 _ _ _ 25 _ _ 29 18 
39 _ 17 28 _ _ _ 27 _ _ 29 18 
39 _ 17 26 _ _ _ 23 _ _ 29 17 
39 _ 20 26 _ _ _ 25 _ _ 30 16 
37 _ 20 26 _ _ _ 25 _ _ 29 16 
37 _ 19 27 _ _ _ 25 _ _ 31 15 
33 _ 19 26 _ _ _ 23 _ _ 31 16 
33 _ 19 26 _ _ _ 29 _ _ 31 21 
32 _ 16 25 _ _ _ 26 _ _ 31 15 
34 _ 21 27 _ _ _ 24 _ _ 32 16 
34 _ 18 27 _ _ _ 26 _ _ 35 17 
34 _ 17 26 _ _ _ 26 _ _ 34 20 
35 _ 18 25 _ _ _ 24 _ _ 31 19 
33 _ 20 26 _ _ _ 23 _ _ 32 15 
31 _ 19 26 _ _ _ 23 _ _ 32 16 
31 _ 16 26 _ _ _ 23 _ _ 30 16 
33 _ 19 31 _ _ _ 26 _ _ 31 17 
32 _ 19 29 _ _ _ 26 _ _ 30 25 
32 _ 20 26 _ _ _ 24 _ _ 29 17 
35 _ 19 26 _ _ _ 25 _ _ 29 20 
32 _ 19 27 _ _ _ 26 _ _ 31 21 
31 _ 19 28 _ _ _ 27 _ _ 30 20 
31 _ 17 28 _ _ _ 24 _ _ 29 25 
34 _ 19 28 _ _ _ 25 _ _ 29 26 
34 _ 17 27 _ _ _ 25 _ _ 30 26 
33 _ 16 28 _ _ _ 24 _ _ 29 20 
32 _ 16 29 _ _ _ 27 _ _ 31 20 
32 _ 16 28 _ _ _ 25 _ _ 31 18 
33 _ 17 27 _ _ _ 24 _ _ 31 21 
34 _ 16 27 _ _ _ 25 _ _ 30 22 
33 _ 17 28 _ _ _ 24 _ _ 30 24 
32 _ 17 30 _ _ _ 25 _ _ 32 19 
32 _ 20 29 _ _ _ 24 _ _ 33 19 
33 _ 20 28 _ _ _ 28 _ _ 34 18 
34 _ 21 29 _ _ _ 26 _ _ 32 18 
33 _ 19 29 _ _ _ 26 _ _ 33 17 
35 _ 18 27 _ _ _ 26 _ _ 33 20 
35 _ 19 27 _ _ _ 23 _ _ 33 19 
33 _ 20 26 _ _ _ 25 _ _ 34 17 
33 _ 18 26 _ _ _ 24 _ _ 29 17 
32 _ 18 27 _ _ _ 24 _ _ 29 16 
33 _ 17 29 _ _ _ 27 _ _ 30 16 
33 _ 20 28 _ _ _ 24 _ _ 29 18 
36 _ 19 28 _ _ _ 22 _ _ 32 17 
33 _ 18 28 _ _ _ 25 _ _ 29 17 
33 _ 20 28 _ _ _ 24 _ _ 28 17 
33 _ 20 28 _ _ _ 25 _ _ 29 16 
33 _ 19 29 _ _ _ 24 _ _ 30 17 
34 _ 19 29 _ _ _ 25 _ _ 28 17 
33 _ 20 28 _ _ _ 27 _ _ 29 16 
34 _ 19 28 _ _ _ 27 _ _ 31 16 
33 _ 20 28 _ _ _ 24 _ _ 31 16 
33 _ 20 28 _ _ _ 26 _ _ 30 16 
33 _ 20 29 _ _ _ 27 _ _ 34 17 
32 _ 20 32 _ _ _ 26 _ _ 30 22 
32 _ 19 29 _ _ _ 25 _ _ 30 18 
33 _ 19 28 _ _ _ 25 _ _ 29 17 
36 _ 19 27 _ _ _ 25 _ _ 28 16 
32 _ 17 26 _ _ _ 24 _ _ 29 16 
32 _ 18 27 _ _ _ 27 _ _ 30 16 
33 _ 17 28 _ _ _ 26 _ _ 30 19 
33 _ 22 28 _ _ _ 26 _ _ 30 16 
33 _ 21 26 _ _ _ 26 _ _ 32 18 
33 _ 18 27 _ _ _ 25 _ _ 30 16 
34 _ 18 27 _ _ _ 26 _ _ 31 15 
33 _ 17 28 _ _ _ 26 _ _ 32 16 
34 _ 16 28 _ _ _ 25 _ _ 32 16 
32 _ 19 27 _ _ _ 26 _ _ 30 16 
32 _ 19 27 _ _ _ 26 _ _ 31 15 
32 _ 17 26 _ _ _ 26 _ _ 30 15 
32 _ 20 26 _ _ _ 25 _ _ 31 15 
33 _ 18 29 _ _ _ 27 _ _ 29 15 
34 _ 18 26 _ _ _ 27 _ _ 30 16 
35 _ 16 27 _ _ _ 28 _ _ 29 16 
35 _ 18 26 _ _ _ 25 _ _ 31 17 
35 _ 19 27 _ _ _ 27 _ _ 30 18 
36 _ 20 33 _ _ _ 27 _ _ 29 20 
33 _ 18 31 _ _ _ 26 _ _ 40 18 
34 _ 18 29 _ _ _ 25 _ _ 39 17 
32 _ 17 33 _ _ _ 25 _ _ 31 17 
33 _ 18 34 _ _ _ 27 _ _ 28 18 
36 _ 19 26 _ _ _ 25 _ _ 29 20 
33 _ 18 34 _ _ _ 25 _ _ 28 16 
35 _ 17 33 _ _ _ 26 _ _ 28 17 
32 _ 17 31 _ _ _ 25 _ _ 29 17 
32 _ 18 31 _ _ _ 29 _ _ 29 16 
35 _ 18 31 _ _ _ 26 _ _ 30 19 
32 _ 17 29 _ _ _ 22 _ _ 28 18 
32 _ 18 28 _ _ _ 28 _ _ 29 18 
34 _ 18 29 _ _ _ 26 _ _ 29 17 
34 _ 18 29 _ _ _ 24 _ _ 29 20 
35 _ 19 29 _ _ _ 25 _ _ 28 20 
34 _ 19 27 _ _ _ 25 _ _ 28 16 
34 _ 18 27 _ _ _ 27 _ _ 32 17 
32 _ 18 25 _ _ _ 26 _ _ 29 16 
34 _ 17 27 _ _ _ 25 _ _ 28 16 
34 _ 18 26 _ _ _ 25 _ _ 29 16 
32 _ 18 24 _ _ _ 26 _ _ 29 19 
32 _ 18 26 _ _ _ 25 _ _ 30 18 
32 _ 17 27 _ _ _ 26 _ _ 29 17 
32 _ 17 26 _ _ _ 27 _ _ 32 17 
36 _ 19 27 _ _ _ 24 _ _ 30 16 
33 _ 20 27 _ _ _ 25 _ _ 29 17 
35 _ 20 26 _ _ _ 28 _ _ 29 20 
36 _ 19 26 _ _ _ 26 _ _ 30 22 
34 _ 17 25 _ _ _ 27 _ _ 28 17 
34 _ 18 26 _ _ _ 25 _ _ 29 20 
33 _ 20 27 _ _ _ 24 _ _ 31 17 
33 _ 20 27 _ _ _ 24 _ _ 30 18 
31 _ 19 27 _ _ _ 22 _ _ 32 18 
31 _ 22 28 _ _ _ 24 _ _ 32 17 
33 _ 18 26 _ _ _ 24 _ _ 32 18 
36 _ 17 27 _ _ _ 25 _ _ 32 18 
34 _ 21 26 _ _ _ 29 _ _ 31 18 
35 _ 22 27 _ _ _ 27 _ _ 35 20 
35 _ 20 27 _ _ _ 26 _ _ 32 20 
33 _ 22 26 _ _ _ 25 _ _ 32 21 
33 _ 21 26 _ _ _ 26 _ _ 33 23 
35 _ 22 26 _ _ _ 24 _ _ 33 23 
35 _ 22 27 _ _ _ 25 _ _ 31 17 
35 _ 23 30 _ _ _ 25 _ _ 32 18 
34 _ 23 27 _ _ _ 25 _ _ 32 19 
31 _ 22 27 _ _ _ 27 _ _ 29 21 
31 _ 21 27 _ _ _ 24 _ _ 28 21 
32 _ 21 28 _ _ _ 41 _ _ 28 20 
35 _ 21 26 _ _ _ 42 _ _ 29 19 
34 _ 21 26 _ _ _ 33 _ _ 30 19 
34 _ 22 27 _ _ _ 29 _ _ 35 15 
33 _ 22 27 _ _ _ 26 _ _ 30 16 
32 _ 23 27 _ _ _ 26 _ _ 30 16 
33 _ 23 26 _ _ _ 26 _ _ 31 16 
35 _ 21 26 _ _ _ 23 _ _ 30 16 
34 _ 21 27 _ _ _ 25 _ _ 30 18 
34 _ 22 27 _ _ _ 23 _ _ 35 16 
35 _ 22 29 _ _ _ 23 _ _ 29 16 
34 _ 21 27 _ _ _ 26 _ _ 32 17 
34 _ 21 27 _ _ _ 23 _ _ 31 16 
34 _ 21 29 _ _ _ 22 _ _ 31 16 
34 _ 22 31 _ _ _ 26 _ _ 30 16 
36 _ 19 27 _ _ _ 26 _ _ 29 16 
34 _ 19 34 _ _ _ 27 _ _ 28 24 
35 _ 21 32 _ _ _ 24 _ _ 29 21 
34 _ 23 32 _ _ _ 22 _ _ 30 16 
35 _ 23 33 _ _ _ 22 _ _ 29 16 
34 _ 19 31 _ _ _ 25 _ _ 30 20 
34 _ 18 28 _ _ _ 29 _ _ 32 24 
