cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
12 1077 389 7 219 851 1363 574 649 1192 5 4 
11 936 6 449 222 205 204 648 552 209 76 440 
11 1337 472 320 219 1220 524 12 487 772 768 162 
11 810 473 6 214 209 671 1459 987 685 6 4 
9 1403 5 5 216 582 1521 96 227 729 814 123 
7 1688 471 796 215 1245 219 10 310 659 6 289 
10 1502 518 5 208 209 1174 621 453 781 696 5 
11 1044 4 469 215 557 232 10 849 817 643 3 
7 2051 434 6 225 806 567 1390 212 623 6 134 
7 _ 934 352 215 719 727 12 278 682 676 3 
63 _ 5 5 231 753 816 6 627 775 5 127 
14 _ 4 433 236 717 659 758 503 682 636 156 
10 _ 481 901 217 677 689 6 507 646 674 4 
8 _ 426 7 212 577 636 6 228 695 769 276 
51 _ 6 6 217 715 _ 1392 708 684 5 4 
10 _ 422 424 207 _ _ 6 606 _ 1472 3 
8 _ 554 5 221 _ _ 725 239 _ 6 159 
434 _ 5 393 262 _ _ 12 708 _ 6 3 
624 _ 497 425 772 _ _ 626 683 _ 588 188 
753 _ 5 5 689 _ _ 12 723 _ 5 205 
424 _ 267 385 649 _ _ 672 _ _ 779 4 
435 _ 5 332 672 _ _ 683 _ _ 694 164 
441 _ 220 6 1490 _ _ 12 _ _ 7 3 
9 _ 953 482 233 _ _ 647 _ _ 727 157 
841 _ 5 8 520 _ _ _ _ _ _ 161 
508 _ 4 285 646 _ _ _ _ _ _ 4 
449 _ 422 427 1340 _ _ _ _ _ _ 1247 
10 _ 422 6 _ _ _ _ _ _ _ 3 
552 _ 4 155 _ _ _ _ _ _ _ 1770 
909 _ 354 162 _ _ _ _ _ _ _ 4 
487 _ 450 7 _ _ _ _ _ _ _ 1868 
8 _ 5 161 _ _ _ _ _ _ _ 1436 
913 _ 812 154 _ _ _ _ _ _ _ 4 
6 _ _ 7 _ _ _ _ _ _ _ 1075 
436 _ _ 138 _ _ _ _ _ _ _ _ 
470 _ _ 154 _ _ _ _ _ _ _ _ 
915 _ _ 9 _ _ _ _ _ _ _ _ 
6 _ _ 131 _ _ _ _ _ _ _ _ 
431 _ _ 6 _ _ _ _ _ _ _ _ 
_ _ _ 297 _ _ _ _ _ _ _ _ 
_ _ _ 6 _ _ _ _ _ _ _ _ 
_ _ _ 5 _ _ _ _ _ _ _ _ 
_ _ _ 157 _ _ _ _ _ _ _ _ 
_ _ _ 190 _ _ _ _ _ _ _ _ 
_ _ _ 5 _ _ _ _ _ _ _ _ 
_ _ _ 197 _ _ _ _ _ _ _ _ 
_ _ _ 200 _ _ _ _ _ _ _ _ 
_ _ _ 7 _ _ _ _ _ _ _ _ 
_ _ _ 195 _ _ _ _ _ _ _ _ 
_ _ _ 7 _ _ _ _ _ _ _ _ 
_ _ _ 222 _ _ _ _ _ _ _ _ 
_ _ _ 5 _ _ _ _ _ _ _ _ 
_ _ _ 234 _ _ _ _ _ _ _ _ 
_ _ _ 6 _ _ _ _ _ _ _ _ 
_ _ _ 7 _ _ _ _ _ _ _ _ 
_ _ _ 151 _ _ _ _ _ _ _ _ 
_ _ _ 125 _ _ _ _ _ _ _ _ 
