cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
5 326 4 37 285 320 217 9 349 301 46 31 
5 144 4 5 286 283 348 27 312 290 7 3 
96 254 4 5 299 285 307 9 351 286 5 3 
5 70 3 6 286 275 322 9 326 285 5 3 
5 240 3 6 283 243 300 11 301 287 81 3 
6 112 3 70 300 343 303 42 327 311 5 3 
103 105 4 5 274 294 306 8 305 316 6 3 
5 154 56 6 303 303 311 9 313 306 5 3 
5 20 4 6 307 308 288 11 337 306 6 3 
5 160 4 6 289 275 301 8 308 318 74 3 
5 17 4 6 285 293 307 10 325 269 5 669 
103 160 4 169 297 263 325 9 319 300 5 9 
6 120 4 6 278 317 308 56 347 283 6 3 
40 51 4 5 317 272 319 11 331 319 5 3 
7 167 3 5 287 317 311 10 318 324 5 3 
6 117 38 6 283 309 317 9 345 311 73 3 
5 151 3 5 300 281 336 10 310 297 6 3 
5 22 4 76 329 303 288 8 355 290 6 3 
121 148 4 5 288 288 301 5 327 316 6 607 
53 31 4 6 277 306 288 7 339 298 6 3 
6 83 4 6 293 287 237 55 333 255 71 3 
6 167 3 5 299 298 311 7 324 293 5 3 
6 118 3 136 293 291 292 6 285 301 6 4 
106 108 4 8 274 322 303 8 313 288 6 4 
6 152 31 6 314 357 308 6 311 295 6 3 
5 20 3 6 311 313 291 6 332 300 72 3 
60 150 4 5 339 300 292 6 295 276 6 268 
6 101 4 73 320 323 304 7 315 284 6 3 
6 18 4 69 278 275 330 60 287 311 7 3 
63 188 4 5 271 290 240 6 315 310 5 568 
5 141 4 5 270 298 326 8 310 307 6 3 
44 114 3 5 311 300 307 6 318 290 74 4 
6 17 36 5 292 286 311 6 _ 272 5 3 
5 194 3 5 301 274 319 40 _ 315 6 3 
5 152 3 5 _ _ _ 6 _ _ 5 641 
5 20 4 103 _ _ _ 6 _ _ 5 595 
87 223 4 33 _ _ _ 7 _ _ 75 15 
6 17 4 63 _ _ _ 9 _ _ 9 3 
6 191 3 5 _ _ _ 6 _ _ 6 3 
57 118 3 60 _ _ _ 7 _ _ 7 3 
5 104 20 32 _ _ _ 7 _ _ 74 5 
5 160 20 38 _ _ _ 7 _ _ 6 4 
6 112 4 27 _ _ _ 6 _ _ 6 4 
6 152 4 6 _ _ _ 75 _ _ 6 531 
151 19 4 6 _ _ _ 8 _ _ 6 3 
19 151 4 5 _ _ _ 6 _ _ 72 3 
6 152 4 5 _ _ _ 6 _ _ 5 3 
6 139 4 5 _ _ _ 7 _ _ 7 3 
62 19 4 5 _ _ _ 6 _ _ 6 3 
6 152 36 6 _ _ _ 43 _ _ 6 3 
40 103 3 5 _ _ _ 6 _ _ 5 3 
6 17 3 119 _ _ _ 6 _ _ 74 76 
6 182 3 36 _ _ _ 8 _ _ 5 3 
7 51 4 35 _ _ _ 6 _ _ 6 3 
94 172 4 66 _ _ _ 5 _ _ 6 3 
7 124 4 32 _ _ _ 6 _ _ 5 4 
42 19 4 37 _ _ _ 6 _ _ 104 4 
7 240 32 63 _ _ _ 65 _ _ 37 3 
7 149 4 64 _ _ _ 9 _ _ 7 3 
6 19 4 37 _ _ _ 9 _ _ 6 3 
82 150 4 5 _ _ _ 6 _ _ 6 101 
5 132 4 5 _ _ _ 7 _ _ 7 4 
7 26 4 5 _ _ _ 6 _ _ 7 4 
6 153 4 5 _ _ _ 7 _ _ 5 59 
76 16 4 70 _ _ _ 6 _ _ 6 4 
6 205 20 5 _ _ _ 54 _ _ 6 3 
6 18 21 5 _ _ _ 7 _ _ 140 3 
7 156 4 5 _ _ _ 7 _ _ 7 3 
6 18 4 6 _ _ _ 9 _ _ 5 3 
87 154 4 6 _ _ _ 8 _ _ 6 3 
6 152 4 72 _ _ _ 7 _ _ 82 3 
6 18 4 5 _ _ _ 8 _ _ 6 3 
75 155 4 5 _ _ _ 8 _ _ 5 740 
7 154 36 5 _ _ _ 7 _ _ 5 4 
7 24 4 5 _ _ _ 71 _ _ 6 3 
6 150 3 5 _ _ _ 8 _ _ 5 3 
74 82 4 69 _ _ _ 6 _ _ 71 3 
6 249 4 8 _ _ _ 6 _ _ 5 4 
7 18 4 5 _ _ _ 7 _ _ 6 5 
7 198 4 5 _ _ _ 7 _ _ 6 1340 
7 117 4 6 _ _ _ 9 _ _ 6 4 
108 50 35 5 _ _ _ 52 _ _ 5 4 
7 249 4 72 _ _ _ 8 _ _ 71 4 
7 19 3 5 _ _ _ 7 _ _ 5 4 
6 213 4 6 _ _ _ 6 _ _ 6 3 
63 _ 4 6 _ _ _ 6 _ _ 7 4 
39 _ 4 6 _ _ _ 6 _ _ 5 670 
6 _ 4 6 _ _ _ 9 _ _ 72 321 
6 _ 4 71 _ _ _ 58 _ _ 7 3 
6 _ 36 5 _ _ _ 6 _ _ 7 3 
6 _ 4 5 _ _ _ 7 _ _ 7 3 
95 _ 4 6 _ _ _ 6 _ _ 6 635 
6 _ 4 5 _ _ _ 6 _ _ 71 3 
41 _ 4 5 _ _ _ 6 _ _ 6 1006 
23 _ 4 71 _ _ _ 7 _ _ 5 4 
33 _ 4 6 _ _ _ 51 _ _ 5 4 
6 _ 4 6 _ _ _ 7 _ _ 6 4 
6 _ 4 6 _ _ _ 7 _ _ 6 4 
6 _ 32 5 _ _ _ 9 _ _ 72 4 
8 _ 4 71 _ _ _ 7 _ _ 5 68 
7 _ 4 5 _ _ _ 7 _ _ 5 32 
120 _ 4 5 _ _ _ 6 _ _ 5 3 
6 _ 4 5 _ _ _ 6 _ _ 5 3 
7 _ 4 5 _ _ _ 63 _ _ 5 3 
7 _ 3 6 _ _ _ 8 _ _ 70 3 
7 _ 4 71 _ _ _ 7 _ _ 5 118 
6 _ 35 5 _ _ _ 6 _ _ 5 3 
145 _ 4 5 _ _ _ 6 _ _ 5 22 
7 _ 4 5 _ _ _ 7 _ _ 5 978 
26 _ 4 5 _ _ _ 7 _ _ 5 _ 
31 _ 4 5 _ _ _ 8 _ _ 72 _ 
6 _ 4 72 _ _ _ 6 _ _ 7 _ 
6 _ 4 5 _ _ _ 6 _ _ 6 _ 
6 _ 4 5 _ _ _ 6 _ _ 5 _ 
6 _ 38 5 _ _ _ 80 _ _ 5 _ 
104 _ 4 5 _ _ _ 7 _ _ 5 _ 
6 _ 4 5 _ _ _ 6 _ _ 72 _ 
47 _ 4 6 _ _ _ 7 _ _ 6 _ 
6 _ 4 73 _ _ _ 6 _ _ 7 _ 
6 _ 4 6 _ _ _ 6 _ _ 7 _ 
6 _ 4 6 _ _ _ 6 _ _ 75 _ 
6 _ 3 5 _ _ _ 6 _ _ 7 _ 
115 _ 36 6 _ _ _ 6 _ _ 5 _ 
6 _ 4 71 _ _ _ 6 _ _ 6 _ 
48 _ 4 5 _ _ _ 67 _ _ 5 _ 
6 _ 4 5 _ _ _ 8 _ _ 5 _ 
6 _ 4 5 _ _ _ 9 _ _ 73 _ 
6 _ 4 5 _ _ _ 8 _ _ 9 _ 
6 _ 4 5 _ _ _ 8 _ _ 9 _ 
7 _ 20 72 _ _ _ 6 _ _ 7 _ 
140 _ 18 6 _ _ _ 6 _ _ 7 _ 
6 _ 3 6 _ _ _ 6 _ _ 6 _ 
6 _ 4 6 _ _ _ 7 _ _ 92 _ 
47 _ 4 5 _ _ _ 7 _ _ 7 _ 
5 _ 4 71 _ _ _ 6 _ _ 7 _ 
6 _ 4 5 _ _ _ 78 _ _ 6 _ 
6 _ 4 5 _ _ _ 6 _ _ 6 _ 
5 _ 38 5 _ _ _ 7 _ _ 73 _ 
131 _ 4 6 _ _ _ 6 _ _ 8 _ 
15 _ 4 5 _ _ _ 7 _ _ 8 _ 
5 _ 4 5 _ _ _ 6 _ _ 7 _ 
5 _ 4 71 _ _ _ 6 _ _ 73 _ 
98 _ 4 5 _ _ _ 6 _ _ 6 _ 
5 _ 4 5 _ _ _ 6 _ _ 6 _ 
5 _ 4 6 _ _ _ 7 _ _ 6 _ 
50 _ 20 5 _ _ _ 6 _ _ 6 _ 
5 _ 19 72 _ _ _ 6 _ _ 73 _ 
5 _ 4 5 _ _ _ 6 _ _ 6 _ 
63 _ 4 5 _ _ _ 6 _ _ 5 _ 
6 _ 4 5 _ _ _ 97 _ _ 5 _ 
5 _ 4 5 _ _ _ 6 _ _ 5 _ 
58 _ 3 5 _ _ _ 6 _ _ 73 _ 
26 _ 4 6 _ _ _ 8 _ _ 7 _ 
5 _ 4 72 _ _ _ 7 _ _ 8 _ 
6 _ 20 5 _ _ _ 7 _ _ 7 _ 
6 _ 16 5 _ _ _ 6 _ _ 8 _ 
6 _ 4 7 _ _ _ 7 _ _ 74 _ 
120 _ 4 7 _ _ _ 59 _ _ 8 _ 
15 _ 4 73 _ _ _ 6 _ _ 7 _ 
5 _ 4 5 _ _ _ 5 _ _ 7 _ 
5 _ 4 6 _ _ _ 6 _ _ 73 _ 
78 _ 4 6 _ _ _ 6 _ _ 6 _ 
6 _ 35 5 _ _ _ 6 _ _ 5 _ 
6 _ 4 5 _ _ _ 6 _ _ 5 _ 
5 _ 4 71 _ _ _ 6 _ _ 5 _ 
5 _ 4 5 _ _ _ 59 _ _ 105 _ 
87 _ 4 5 _ _ _ 5 _ _ 39 _ 
5 _ 4 6 _ _ _ 6 _ _ 8 _ 
5 _ 4 5 _ _ _ 7 _ _ 8 _ 
65 _ 4 5 _ _ _ 6 _ _ 8 _ 
5 _ 36 72 _ _ _ 6 _ _ 7 _ 
5 _ 4 5 _ _ _ 6 _ _ 7 _ 
5 _ 4 5 _ _ _ 6 _ _ 7 _ 
92 _ 4 5 _ _ _ 6 _ _ 180 _ 
6 _ 4 5 _ _ _ 6 _ _ 6 _ 
6 _ 4 5 _ _ _ 6 _ _ 5 _ 
45 _ 3 74 _ _ _ 6 _ _ 5 _ 
41 _ 4 5 _ _ _ 89 _ _ 5 _ 
5 _ 34 5 _ _ _ 6 _ _ 7 _ 
5 _ 4 6 _ _ _ 6 _ _ 74 _ 
5 _ 3 6 _ _ _ 8 _ _ 7 _ 
6 _ 4 71 _ _ _ 6 _ _ 6 _ 
6 _ 3 5 _ _ _ 9 _ _ 5 _ 
115 _ 4 5 _ _ _ 9 _ _ 6 _ 
6 _ 4 5 _ _ _ 58 _ _ 71 _ 
35 _ 4 6 _ _ _ 7 _ _ 6 _ 
5 _ 38 5 _ _ _ 7 _ _ 7 _ 
40 _ 4 72 _ _ _ 7 _ _ 7 _ 
5 _ 4 5 _ _ _ 8 _ _ 5 _ 
6 _ 3 5 _ _ _ 6 _ _ 113 _ 
6 _ 3 6 _ _ _ 9 _ _ 60 _ 
5 _ 4 6 _ _ _ 54 _ _ 8 _ 
109 _ 4 5 _ _ _ 9 _ _ 6 _ 
11 _ 4 71 _ _ _ 8 _ _ 5 _ 
5 _ 4 5 _ _ _ 7 _ _ 6 _ 
5 _ 36 5 _ _ _ 6 _ _ 72 _ 
76 _ 4 5 _ _ _ 8 _ _ 5 _ 
6 _ 4 6 _ _ _ 8 _ _ 7 _ 
6 _ 3 6 _ _ _ 8 _ _ 7 _ 
5 _ 4 72 _ _ _ 7 _ _ 71 _ 
5 _ 3 6 _ _ _ 67 _ _ 10 _ 
5 _ 3 5 _ _ _ 8 _ _ 6 _ 
112 _ 3 6 _ _ _ 9 _ _ 6 _ 
17 _ 3 6 _ _ _ 8 _ _ 6 _ 
22 _ 33 72 _ _ _ 10 _ _ 72 _ 
5 _ 3 5 _ _ _ 44 _ _ 6 _ 
