terminal,benchmark,samples,mean_ms,median_ms,p90_ms,stddev_ms
ghostty-ubuntu,cursor_motion,292,33.88,33.0,36.0,2.12
ghostty-web,cursor_motion,39,264.64,14.0,841.0,315.72
ghostty-wterm,cursor_motion,205,48.49,44.0,93.0,36.55
xtermjs,cursor_motion,221,44.83,45.0,89.0,31.72
ghostty-ubuntu,dense_cells,79,127.1,124.0,143.0,9.31
ghostty-web,dense_cells,9,1316.44,1337.0,2051.0,395.72
ghostty-wterm,dense_cells,12,843.83,951.5,1702.0,735.79
xtermjs,dense_cells,15,755.27,822.0,1557.0,602.9
ghostty-ubuntu,light_cells,519,18.78,18.0,21.0,2.31
ghostty-web,light_cells,33,304.06,389.0,554.0,285.82
ghostty-wterm,light_cells,29,383.07,95.0,1122.0,532.62
xtermjs,light_cells,209,47.39,6.0,81.0,109.14
ghostty-ubuntu,medium_cells,351,28.01,28.0,31.0,1.9
ghostty-web,medium_cells,57,176.32,151.0,433.0,204.72
ghostty-wterm,medium_cells,18,637.39,6.5,1928.0,853.94
xtermjs,medium_cells,153,65.59,7.0,185.0,82.14
ghostty-ubuntu,scrolling,45,226.47,226.0,235.0,7.47
ghostty-web,scrolling,27,406.74,222.0,772.0,346.03
ghostty-wterm,scrolling,16,683.94,229.0,2343.0,944.15
xtermjs,scrolling,33,304.03,230.0,618.0,178.89
ghostty-ubuntu,scrolling_bottom_region,47,217.09,217.0,225.0,5.46
ghostty-web,scrolling_bottom_region,15,669.47,715.0,1220.0,312.64
ghostty-wterm,scrolling_bottom_region,11,942.27,829.0,1552.0,598.55
xtermjs,scrolling_bottom_region,16,674.94,565.5,1228.0,401.47
ghostty-ubuntu,scrolling_bottom_small_region,47,216.28,214.0,227.0,6.66
ghostty-web,scrolling_bottom_small_region,14,714.43,665.0,1363.0,402.05
ghostty-wterm,scrolling_bottom_small_region,6,1716.17,1701.0,1855.0,76.27
xtermjs,scrolling_bottom_small_region,10,1003.1,1183.5,1556.0,603.68
ghostty-ubuntu,scrolling_fullscreen,392,25.01,25.0,27.0,2.09
ghostty-web,scrolling_fullscreen,24,433.12,335.0,1390.0,487.68
ghostty-wterm,scrolling_fullscreen,11,961.27,1555.0,1833.0,903.75
xtermjs,scrolling_fullscreen,12,893.67,579.5,2539.0,1041.62
ghostty-ubuntu,scrolling_top_region,45,225.16,224.0,233.0,5.16
ghostty-web,scrolling_top_region,20,526.8,529.5,723.0,224.08
ghostty-wterm,scrolling_top_region,5,2064.6,1850.0,3295.0,705.21
xtermjs,scrolling_top_region,7,1525.43,1300.0,3566.0,1479.58
ghostty-ubuntu,scrolling_top_small_region,45,222.56,221.0,234.0,7.2
ghostty-web,scrolling_top_small_region,15,708.73,685.0,817.0,193.76
ghostty-wterm,scrolling_top_small_region,14,829.43,254.0,1758.0,734.19
xtermjs,scrolling_top_small_region,15,771.67,443.0,1634.0,807.36
ghostty-ubuntu,sync_medium_cells,319,30.92,30.0,34.0,2.96
ghostty-web,sync_medium_cells,24,419.54,612.0,779.0,415.39
ghostty-wterm,sync_medium_cells,11,1007.55,1423.0,1775.0,804.35
xtermjs,sync_medium_cells,12,855.75,1095.5,1661.0,791.79
ghostty-ubuntu,unicode,562,17.31,17.0,20.0,2.48
ghostty-web,unicode,34,299.76,130.5,1247.0,521.46
ghostty-wterm,unicode,8,1273.75,1584.5,2059.0,813.39
xtermjs,unicode,10,1189.8,1217.0,2751.0,1151.59
