cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
11 36 5 64 228 364 1010 7 3566 258 1525 1677 
17 35 252 9 215 645 477 1336 231 235 7 5 
12 24 4 11 225 991 233 2879 210 443 1368 2257 
11 67 3 81 224 411 1537 12 3468 343 1113 1102 
11 62 536 11 228 537 438 76 216 550 7 4 
12 834 5 8 219 594 1820 11 1300 246 1386 1332 
11 1557 295 51 227 1199 242 1083 1687 226 2099 4 
11 1223 415 7 220 226 1357 1332 _ 874 8 2751 
9 1323 369 61 221 508 1361 10 _ 221 8 4 
7 1537 5 6 219 976 1556 1430 _ 1160 1078 2762 
7 568 715 5 220 226 _ 9 _ 3235 9 _ 
24 822 5 61 231 1113 _ 2539 _ 240 1661 _ 
9 911 5 6 238 222 _ _ _ 827 _ _ 
8 739 358 5 230 1329 _ _ _ 1083 _ _ 
7 1591 4 50 226 230 _ _ _ 1634 _ _ 
13 _ 550 5 230 1228 _ _ _ _ _ _ 
8 _ 5 27 229 _ _ _ _ _ _ _ 
8 _ 4 6 234 _ _ _ _ _ _ _ 
7 _ 798 46 629 _ _ _ _ _ _ _ 
26 _ 5 6 235 _ _ _ _ _ _ _ 
43 _ 135 83 235 _ _ _ _ _ _ _ 
48 _ 8 6 224 _ _ _ _ _ _ _ 
91 _ 5 7 518 _ _ _ _ _ _ _ 
7 _ 584 59 231 _ _ _ _ _ _ _ 
55 _ 6 6 233 _ _ _ _ _ _ _ 
96 _ 4 115 253 _ _ _ _ _ _ _ 
7 _ 38 6 618 _ _ _ _ _ _ _ 
86 _ 4 6 229 _ _ _ _ _ _ _ 
9 _ 34 86 307 _ _ _ _ _ _ _ 
51 _ 73 5 225 _ _ _ _ _ _ _ 
137 _ 4 128 311 _ _ _ _ _ _ _ 
9 _ 4 164 900 _ _ _ _ _ _ _ 
8 _ 32 6 821 _ _ _ _ _ _ _ 
39 _ 36 7 _ _ _ _ _ _ _ _ 
98 _ 4 6 _ _ _ _ _ _ _ _ 
7 _ 43 175 _ _ _ _ _ _ _ _ 
50 _ 4 6 _ _ _ _ _ _ _ _ 
49 _ 67 159 _ _ _ _ _ _ _ _ 
49 _ 4 5 _ _ _ _ _ _ _ _ 
47 _ 3 5 _ _ _ _ _ _ _ _ 
43 _ 34 165 _ _ _ _ _ _ _ _ 
90 _ 67 7 _ _ _ _ _ _ _ _ 
7 _ 4 6 _ _ _ _ _ _ _ _ 
47 _ 4 85 _ _ _ _ _ _ _ _ 
89 _ 32 191 _ _ _ _ _ _ _ _ 
54 _ 5 7 _ _ _ _ _ _ _ _ 
7 _ 33 82 _ _ _ _ _ _ _ _ 
96 _ 34 7 _ _ _ _ _ _ _ _ 
10 _ 4 192 _ _ _ _ _ _ _ _ 
53 _ 73 6 _ _ _ _ _ _ _ _ 
50 _ 4 109 _ _ _ _ _ _ _ _ 
51 _ 34 6 _ _ _ _ _ _ _ _ 
62 _ 3 245 _ _ _ _ _ _ _ _ 
47 _ 34 6 _ _ _ _ _ _ _ _ 
69 _ 96 7 _ _ _ _ _ _ _ _ 
87 _ 5 171 _ _ _ _ _ _ _ _ 
57 _ 5 6 _ _ _ _ _ _ _ _ 
8 _ 32 190 _ _ _ _ _ _ _ _ 
91 _ 4 7 _ _ _ _ _ _ _ _ 
8 _ 59 6 _ _ _ _ _ _ _ _ 
45 _ 88 104 _ _ _ _ _ _ _ _ 
48 _ 4 194 _ _ _ _ _ _ _ _ 
53 _ 4 5 _ _ _ _ _ _ _ _ 
93 _ 29 100 _ _ _ _ _ _ _ _ 
8 _ 4 6 _ _ _ _ _ _ _ _ 
47 _ 70 176 _ _ _ _ _ _ _ _ 
53 _ 4 6 _ _ _ _ _ _ _ _ 
40 _ 28 5 _ _ _ _ _ _ _ _ 
58 _ 5 184 _ _ _ _ _ _ _ _ 
9 _ 37 5 _ _ _ _ _ _ _ _ 
87 _ 5 5 _ _ _ _ _ _ _ _ 
39 _ 107 290 _ _ _ _ _ _ _ _ 
49 _ 5 7 _ _ _ _ _ _ _ _ 
47 _ 4 6 _ _ _ _ _ _ _ _ 
82 _ 4 84 _ _ _ _ _ _ _ _ 
10 _ 25 5 _ _ _ _ _ _ _ _ 
95 _ 36 181 _ _ _ _ _ _ _ _ 
8 _ 5 6 _ _ _ _ _ _ _ _ 
36 _ 67 6 _ _ _ _ _ _ _ _ 
57 _ 4 168 _ _ _ _ _ _ _ _ 
92 _ 4 6 _ _ _ _ _ _ _ _ 
9 _ 35 339 _ _ _ _ _ _ _ _ 
84 _ 34 7 _ _ _ _ _ _ _ _ 
7 _ 5 6 _ _ _ _ _ _ _ _ 
54 _ 32 6 _ _ _ _ _ _ _ _ 
44 _ 70 167 _ _ _ _ _ _ _ _ 
92 _ 5 6 _ _ _ _ _ _ _ _ 
9 _ 4 6 _ _ _ _ _ _ _ _ 
47 _ 32 182 _ _ _ _ _ _ _ _ 
51 _ 5 6 _ _ _ _ _ _ _ _ 
82 _ 69 7 _ _ _ _ _ _ _ _ 
7 _ 4 183 _ _ _ _ _ _ _ _ 
67 _ 4 6 _ _ _ _ _ _ _ _ 
44 _ 34 88 _ _ _ _ _ _ _ _ 
50 _ 104 5 _ _ _ _ _ _ _ _ 
86 _ 7 175 _ _ _ _ _ _ _ _ 
7 _ 7 7 _ _ _ _ _ _ _ _ 
38 _ 4 92 _ _ _ _ _ _ _ _ 
90 _ 22 6 _ _ _ _ _ _ _ _ 
7 _ 4 277 _ _ _ _ _ _ _ _ 
39 _ 39 7 _ _ _ _ _ _ _ _ 
91 _ 37 5 _ _ _ _ _ _ _ _ 
6 _ 4 178 _ _ _ _ _ _ _ _ 
81 _ 97 6 _ _ _ _ _ _ _ _ 
48 _ 5 5 _ _ _ _ _ _ _ _ 
7 _ 4 93 _ _ _ _ _ _ _ _ 
85 _ 5 6 _ _ _ _ _ _ _ _ 
46 _ 4 175 _ _ _ _ _ _ _ _ 
54 _ 22 6 _ _ _ _ _ _ _ _ 
7 _ 68 183 _ _ _ _ _ _ _ _ 
92 _ 5 7 _ _ _ _ _ _ _ _ 
39 _ 4 7 _ _ _ _ _ _ _ _ 
54 _ 34 215 _ _ _ _ _ _ _ _ 
87 _ 4 6 _ _ _ _ _ _ _ _ 
8 _ 30 102 _ _ _ _ _ _ _ _ 
44 _ 81 6 _ _ _ _ _ _ _ _ 
47 _ 5 181 _ _ _ _ _ _ _ _ 
137 _ 5 6 _ _ _ _ _ _ _ _ 
10 _ 78 6 _ _ _ _ _ _ _ _ 
7 _ 5 186 _ _ _ _ _ _ _ _ 
41 _ 4 6 _ _ _ _ _ _ _ _ 
60 _ 85 6 _ _ _ _ _ _ _ _ 
86 _ 4 185 _ _ _ _ _ _ _ _ 
9 _ 4 5 _ _ _ _ _ _ _ _ 
84 _ 39 181 _ _ _ _ _ _ _ _ 
8 _ 32 7 _ _ _ _ _ _ _ _ 
44 _ 4 6 _ _ _ _ _ _ _ _ 
48 _ 35 185 _ _ _ _ _ _ _ _ 
45 _ 77 5 _ _ _ _ _ _ _ _ 
42 _ 5 90 _ _ _ _ _ _ _ _ 
93 _ 4 7 _ _ _ _ _ _ _ _ 
6 _ 33 104 _ _ _ _ _ _ _ _ 
83 _ 33 165 _ _ _ _ _ _ _ _ 
7 _ 4 6 _ _ _ _ _ _ _ _ 
85 _ 34 172 _ _ _ _ _ _ _ _ 
8 _ 63 7 _ _ _ _ _ _ _ _ 
81 _ 5 7 _ _ _ _ _ _ _ _ 
8 _ 4 7 _ _ _ _ _ _ _ _ 
40 _ 4 176 _ _ _ _ _ _ _ _ 
88 _ 35 5 _ _ _ _ _ _ _ _ 
9 _ 85 212 _ _ _ _ _ _ _ _ 
50 _ 4 6 _ _ _ _ _ _ _ _ 
42 _ 33 6 _ _ _ _ _ _ _ _ 
49 _ 5 243 _ _ _ _ _ _ _ _ 
45 _ 4 6 _ _ _ _ _ _ _ _ 
52 _ 35 89 _ _ _ _ _ _ _ _ 
91 _ 113 7 _ _ _ _ _ _ _ _ 
46 _ 5 268 _ _ _ _ _ _ _ _ 
61 _ 4 6 _ _ _ _ _ _ _ _ 
6 _ 4 5 _ _ _ _ _ _ _ _ 
103 _ 28 84 _ _ _ _ _ _ _ _ 
54 _ 4 7 _ _ _ _ _ _ _ _ 
87 _ 74 192 _ _ _ _ _ _ _ _ 
8 _ 4 _ _ _ _ _ _ _ _ _ 
48 _ 3 _ _ _ _ _ _ _ _ _ 
56 _ 31 _ _ _ _ _ _ _ _ _ 
45 _ 43 _ _ _ _ _ _ _ _ _ 
81 _ 41 _ _ _ _ _ _ _ _ _ 
8 _ 4 _ _ _ _ _ _ _ _ _ 
48 _ 43 _ _ _ _ _ _ _ _ _ 
49 _ 5 _ _ _ _ _ _ _ _ _ 
82 _ 36 _ _ _ _ _ _ _ _ _ 
8 _ 45 _ _ _ _ _ _ _ _ _ 
75 _ 4 _ _ _ _ _ _ _ _ _ 
8 _ 46 _ _ _ _ _ _ _ _ _ 
32 _ 34 _ _ _ _ _ _ _ _ _ 
46 _ 5 _ _ _ _ _ _ _ _ _ 
47 _ 38 _ _ _ _ _ _ _ _ _ 
